partition,gap,total_resources,imbalance,drones,batteries,relay_drones,relay_modules
"{B01,B02,B04,B05,B06,B09,B11}|{B03,B12}|{B07,B08,B10}",8,38,0.839961,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B04,B05,B08,B09,B11,B12}|{B03,B06}|{B07,B10}",8,38,0.84322,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B10,B12}|{B02,B04,B06}|{B07,B08,B11}",8,38,0.856818,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",6,6
"{B01,B03,B05,B08,B09,B12}|{B02,B04,B06}|{B07,B10,B11}",8,38,0.85998,"{""C"": 2, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 5}",6,6
"{B01,B03,B05,B08,B11,B12}|{B02,B04,B06}|{B07,B09,B10}",8,38,0.861527,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",6,6
"{B01,B04,B05,B06,B07,B08,B09,B10}|{B02,B11}|{B03,B12}",8,38,0.869356,"{""C"": 4, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B04,B05,B06,B09,B11,B12}|{B03,B08}|{B07,B10}",8,38,0.869742,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B11}|{B04,B06,B12}|{B07,B10}",8,38,0.874571,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 4, ""A"": 7}",6,6
"{B01,B03,B04,B05,B09,B11,B12}|{B02,B06,B08}|{B07,B10}",8,38,0.879562,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B05,B09,B11,B12}|{B02,B03}|{B04,B06,B07,B08,B10}",8,38,0.882238,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B09}|{B02,B04,B06,B11}|{B03,B05,B07,B08,B10,B12}",8,38,0.885452,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 4}",5,6
"{B01,B05,B08,B09}|{B02,B03,B04,B06,B07,B10,B11}|{B12}",8,38,0.907726,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 4}",5,6
"{B01,B02,B05,B08,B09,B11}|{B03,B12}|{B04,B06,B07,B10}",8,38,0.912045,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B04,B05,B06,B08,B10,B11,B12}|{B03}|{B07,B09}",8,38,0.912443,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
