start,end,distance_diff_m,terrain_max_diff_m,cruise_diff_m,up_diff_m,down_diff_m
S012,S002,0.0,0.0,0.0,0.0,0.0
S012,S003,0.0,0.0,0.0,0.0,0.0
S012,S004,0.0,0.0,0.0,0.0,0.0
S012,S005,0.0,0.0,0.0,0.0,0.0
S012,S006,0.0,0.0,0.0,0.0,0.0
S012,S007,0.0,0.0,0.0,0.0,0.0
S012,S008,0.0,0.0,0.0,0.0,0.0
S012,S009,0.0,0.0,0.0,0.0,0.0
S012,S010,0.0,0.0,0.0,0.0,0.0
S012,S011,0.0,0.0,0.0,0.0,0.0
S012,S013,0.0,0.0,0.0,0.0,0.0
S012,S014,0.0,0.0,0.0,0.0,0.0
S012,S015,0.0,0.0,0.0,0.0,0.0
S013,O01,0.0,0.0,0.0,0.0,0.0
S013,S001,0.0,0.0,0.0,0.0,0.0
S013,S002,0.0,0.0,0.0,0.0,0.0
S013,S003,0.0,0.0,0.0,0.0,0.0
S013,S004,0.0,0.0,0.0,0.0,0.0
S013,S005,0.0,0.0,0.0,0.0,0.0
S013,S006,0.0,0.0,0.0,0.0,0.0
S013,S007,0.0,0.0,0.0,0.0,0.0
S013,S008,0.0,0.0,0.0,0.0,0.0
S013,S009,0.0,0.0,0.0,0.0,0.0
S013,S010,0.0,0.0,0.0,0.0,0.0
S013,S011,0.0,0.0,0.0,0.0,0.0
S013,S012,0.0,0.0,0.0,0.0,0.0
S013,S014,0.0,0.0,0.0,0.0,0.0
S013,S015,0.0,0.0,0.0,0.0,0.0
S014,O01,0.0,0.0,0.0,0.0,0.0
S014,S001,0.0,0.0,0.0,0.0,0.0
S014,S002,0.0,0.0,0.0,0.0,0.0
S014,S003,0.0,0.0,0.0,0.0,0.0
S014,S004,0.0,0.0,0.0,0.0,0.0
S014,S005,0.0,0.0,0.0,0.0,0.0
S014,S006,0.0,0.0,0.0,0.0,0.0
S014,S007,0.0,0.0,0.0,0.0,0.0
S014,S008,0.0,0.0,0.0,0.0,0.0
S014,S009,0.0,0.0,0.0,0.0,0.0
S014,S010,0.0,0.0,0.0,0.0,0.0
S014,S011,0.0,0.0,0.0,0.0,0.0
S014,S012,0.0,0.0,0.0,0.0,0.0
S014,S013,0.0,0.0,0.0,0.0,0.0
S014,S015,0.0,0.0,0.0,0.0,0.0
S015,O01,0.0,0.0,0.0,0.0,0.0
S015,S001,0.0,0.0,0.0,0.0,0.0
S015,S002,0.0,0.0,0.0,0.0,0.0
S015,S003,0.0,0.0,0.0,0.0,0.0
S015,S004,0.0,0.0,0.0,0.0,0.0
S015,S005,0.0,0.0,0.0,0.0,0.0
S015,S006,0.0,0.0,0.0,0.0,0.0
S015,S007,0.0,0.0,0.0,0.0,0.0
S015,S008,0.0,0.0,0.0,0.0,0.0
S015,S009,0.0,0.0,0.0,0.0,0.0
S015,S010,0.0,0.0,0.0,0.0,0.0
S015,S011,0.0,0.0,0.0,0.0,0.0
S015,S012,0.0,0.0,0.0,0.0,0.0
S015,S013,0.0,0.0,0.0,0.0,0.0
S015,S014,0.0,0.0,0.0,0.0,0.0
