trip_id,drone_id,type_id,battery_id,segment_id,origin,destination,distance_m,terrain_max_m,cruise_altitude_m,ascent_m,descent_m,cell_count,remaining_cargo_kg,ascent_duration_s,cruise_duration_s,descent_duration_s,ascent_energy_kwh,cruise_energy_kwh,descent_energy_kwh,handover_energy_kwh,total_energy_kwh,ascent_start_s,ascent_end_s,cruise_start_s,cruise_end_s,descent_start_s,descent_end_s,arrival_s,handover_start_s,handover_end_s,is_return,origin_x_m,origin_y_m,origin_work_altitude_m,destination_x_m,destination_y_m,destination_work_altitude_m
T013,U05,B,BAT-B-04,2,S011,O01,2808.0980667554068,245.36175537109375,295.36175537109375,83.26175537109376,167.66175537109376,123,0,27.75391845703125,187.2065377836938,67.0647021484375,0.020475975333775414,0.4011568666793438,0.0,0.0,0.42163284201311924,2776.1506863415125,2803.904604798544,2803.904604798544,2991.111142582238,2991.111142582238,3058.175844730675,3058.175844730675,3058.175844730675,3058.175844730675,1,317639.7049014466,2548161.9520547492,212.1,318686.2012849663,2545556.1393078705,127.7
T014,U05,B,BAT-B-02,1,O01,S009,5705.148819569368,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,253,25,55.17630411783855,380.3432546379579,25.29156494140625,0.0563640315392918,1.2092758058305093,0.0,0.0,1.265639837369801,3448.175844730675,3503.352148848514,3503.352148848514,3883.695403486472,3883.695403486472,3908.9869684278783,3908.9869684278783,3908.9869684278783,4148.986968427878,0,318686.2012849663,2545556.1393078705,127.7,321135.49177049473,2550708.7793274075,230
T014,U05,B,BAT-B-02,2,S009,O01,5705.148819569368,243.22891235351562,293.2289123535156,63.228912353515625,165.52891235351564,253,0,21.076304117838543,380.3432546379579,66.21156494140625,0.01554943976333112,0.8150212599384812,0.0,0.0,0.8305706997018123,4148.986968427878,4170.063272545717,4170.063272545717,4550.406527183675,4550.406527183675,4616.618092125082,4616.618092125082,4616.618092125082,4616.618092125082,1,321135.49177049473,2550708.7793274075,230,318686.2012849663,2545556.1393078705,127.7
T015,U07,C,BAT-C-03,1,O01,S005,5280.641689396255,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181,34,79.48435546875001,352.0427792930837,65.7054443359375,0.07811292336857295,1.9097233899547534,0.0,0.0,1.9878363133233263,5684.453418477328,5763.937773946079,5763.937773946079,6115.980553239163,6115.980553239163,6181.6859975751,6181.6859975751,6181.6859975751,6469.6859975751,0,318686.2012849663,2545556.1393078705,127.7,318488.48309921037,2550833.078209432,195
T015,U07,C,BAT-C-03,2,S005,O01,5280.641689396255,276.410888671875,326.410888671875,131.410888671875,198.710888671875,181,0,52.56435546875,352.0427792930837,99.3554443359375,0.03475315252254769,1.62481282750654,0.0,0.0,1.6595659800290878,6469.6859975751,6522.250353043851,6522.250353043851,6874.293132336935,6874.293132336935,6973.648576672872,6973.648576672872,6973.648576672872,6973.648576672872,1,318488.48309921037,2550833.078209432,195,318686.2012849663,2545556.1393078705,127.7
T016,U04,A,BAT-A-04,1,O01,S001,3053.9887026416195,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,22,48.452203369140626,254.4990585534683,35.62264404296875,0.05059508057365559,0.6584258010062226,0.0,0.0,0.7090208815798782,360.0,408.45220336914065,408.45220336914065,662.951261922609,662.951261922609,698.5739059655778,698.5739059655778,698.5739059655778,908.5739059655778,0,318686.2012849663,2545556.1393078705,127.7,319988.599872737,2548318.4942659517,184
T016,U04,A,BAT-A-04,2,S001,O01,3053.9887026416195,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136,0,29.685536702473957,254.4990585534683,58.142644042968755,0.023585760179666824,0.5497179664754915,0.0,0.0,0.5733037266551584,908.5739059655778,938.2594426680517,938.2594426680517,1192.75850122152,1192.75850122152,1250.9011452644886,1250.9011452644886,1250.9011452644886,1250.9011452644886,1,319988.599872737,2548318.4942659517,184,318686.2012849663,2545556.1393078705,127.7
T017,U06,B,BAT-B-01,1,O01,S002,7411.3077087600395,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,323,14,60.418084716796876,494.0871805840026,35.78170166015625,0.05417525674600708,1.2263031509317623,0.0,0.0,1.2804784076777693,3823.8834966823283,3884.301581399125,3884.301581399125,4378.388761983128,4378.388761983128,4414.170463643284,4414.170463643284,4414.170463643284,4624.170463643284,0,318686.2012849663,2545556.1393078705,127.7,321607.1664922811,2552367.559439648,219.5
T017,U06,B,BAT-B-01,2,S002,O01,7411.3077087600395,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,323,0,29.818084716796875,494.0871805840026,72.50170166015626,0.02199885281448894,1.058758244108577,0.0,0.0,1.080757096923066,4624.170463643284,4653.988548360081,4653.988548360081,5148.0757289440835,5148.0757289440835,5220.577430604239,5220.577430604239,5220.577430604239,5220.577430604239,1,321607.1664922811,2552367.559439648,219.5,318686.2012849663,2545556.1393078705,127.7
T018,U04,A,BAT-A-05,1,O01,S001,3053.9887026416195,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,22,48.452203369140626,254.4990585534683,35.62264404296875,0.05059508057365559,0.6584258010062226,0.0,0.0,0.7090208815798782,1610.9011452644886,1659.3533486336291,1659.3533486336291,1913.8524071870975,1913.8524071870975,1949.4750512300661,1949.4750512300661,1949.4750512300661,2159.475051230066,0,318686.2012849663,2545556.1393078705,127.7,319988.599872737,2548318.4942659517,184
