time_s,trip_id,drone_id,mode,relay_id
443.0,T004,U06,direct,
443.0,T006,U01,direct,
443.0,T009,U02,direct,
443.0,T010,U03,direct,
443.0,T016,U04,direct,
444.0,T002,U05,direct,
444.0,T004,U06,direct,
444.0,T006,U01,direct,
444.0,T009,U02,direct,
444.0,T010,U03,direct,
444.0,T016,U04,direct,
445.0,T002,U05,direct,
445.0,T004,U06,direct,
445.0,T006,U01,direct,
445.0,T009,U02,direct,
445.0,T010,U03,direct,
445.0,T016,U04,direct,
446.0,T002,U05,direct,
446.0,T004,U06,direct,
446.0,T006,U01,direct,
446.0,T009,U02,direct,
446.0,T010,U03,direct,
446.0,T016,U04,direct,
447.0,T002,U05,direct,
447.0,T004,U06,direct,
447.0,T006,U01,direct,
447.0,T009,U02,direct,
447.0,T010,U03,direct,
447.0,T016,U04,direct,
448.0,T002,U05,direct,
448.0,T004,U06,direct,
448.0,T006,U01,direct,
448.0,T009,U02,direct,
448.0,T010,U03,direct,
448.0,T016,U04,direct,
449.0,T002,U05,direct,
449.0,T004,U06,direct,
449.0,T006,U01,direct,
449.0,T009,U02,direct,
449.0,T010,U03,direct,
449.0,T016,U04,direct,
450.0,T001,U07,direct,
450.0,T002,U05,direct,
450.0,T003,U08,direct,
450.0,T004,U06,direct,
450.0,T006,U01,direct,
450.0,T009,U02,direct,
450.0,T010,U03,direct,
450.0,T016,U04,direct,
451.0,T001,U07,direct,
451.0,T002,U05,direct,
451.0,T003,U08,direct,
451.0,T004,U06,direct,
451.0,T006,U01,direct,
451.0,T009,U02,direct,
451.0,T010,U03,direct,
451.0,T016,U04,direct,
452.0,T001,U07,direct,
452.0,T002,U05,direct,
452.0,T003,U08,direct,
452.0,T004,U06,direct,
452.0,T006,U01,direct,
452.0,T009,U02,direct,
452.0,T010,U03,direct,
452.0,T016,U04,direct,
453.0,T001,U07,direct,
453.0,T002,U05,direct,
453.0,T003,U08,direct,
453.0,T004,U06,direct,
453.0,T006,U01,direct,
453.0,T009,U02,direct,
453.0,T010,U03,direct,
453.0,T016,U04,direct,
454.0,T001,U07,direct,
454.0,T002,U05,direct,
454.0,T003,U08,direct,
454.0,T004,U06,direct,
454.0,T006,U01,direct,
454.0,T009,U02,direct,
454.0,T010,U03,direct,
454.0,T016,U04,direct,
455.0,T001,U07,direct,
455.0,T002,U05,direct,
455.0,T003,U08,direct,
455.0,T004,U06,direct,
455.0,T006,U01,direct,
455.0,T009,U02,direct,
455.0,T010,U03,direct,
455.0,T016,U04,direct,
456.0,T001,U07,direct,
456.0,T002,U05,direct,
456.0,T003,U08,direct,
456.0,T004,U06,direct,
456.0,T006,U01,direct,
456.0,T009,U02,direct,
456.0,T010,U03,direct,
456.0,T016,U04,direct,
457.0,T001,U07,direct,
457.0,T002,U05,direct,
457.0,T003,U08,direct,
457.0,T004,U06,direct,
457.0,T006,U01,direct,
457.0,T009,U02,direct,
457.0,T010,U03,direct,
457.0,T016,U04,direct,
458.0,T001,U07,direct,
458.0,T002,U05,direct,
458.0,T003,U08,direct,
458.0,T004,U06,direct,
458.0,T006,U01,direct,
458.0,T009,U02,direct,
458.0,T010,U03,direct,
458.0,T016,U04,direct,
459.0,T001,U07,direct,
459.0,T002,U05,direct,
459.0,T003,U08,direct,
459.0,T004,U06,direct,
459.0,T006,U01,direct,
459.0,T009,U02,direct,
459.0,T010,U03,direct,
459.0,T016,U04,direct,
460.0,T001,U07,direct,
460.0,T002,U05,direct,
460.0,T003,U08,direct,
460.0,T004,U06,direct,
460.0,T006,U01,direct,
460.0,T009,U02,direct,
460.0,T010,U03,direct,
460.0,T016,U04,direct,
461.0,T001,U07,direct,
461.0,T002,U05,direct,
461.0,T003,U08,direct,
461.0,T004,U06,direct,
461.0,T006,U01,direct,
461.0,T009,U02,direct,
461.0,T010,U03,direct,
461.0,T016,U04,direct,
462.0,T001,U07,direct,
462.0,T002,U05,direct,
462.0,T003,U08,direct,
462.0,T004,U06,direct,
462.0,T006,U01,direct,
462.0,T009,U02,direct,
462.0,T010,U03,direct,
462.0,T016,U04,direct,
463.0,T001,U07,direct,
463.0,T002,U05,direct,
463.0,T003,U08,direct,
463.0,T004,U06,direct,
463.0,T006,U01,direct,
463.0,T009,U02,direct,
463.0,T010,U03,direct,
463.0,T016,U04,direct,
464.0,T001,U07,direct,
464.0,T002,U05,direct,
464.0,T003,U08,direct,
464.0,T004,U06,direct,
464.0,T006,U01,direct,
464.0,T009,U02,direct,
464.0,T010,U03,direct,
464.0,T016,U04,direct,
465.0,T001,U07,direct,
465.0,T002,U05,direct,
465.0,T003,U08,direct,
465.0,T004,U06,direct,
465.0,T006,U01,direct,
465.0,T009,U02,direct,
465.0,T010,U03,direct,
465.0,T016,U04,direct,
466.0,T001,U07,direct,
466.0,T002,U05,direct,
466.0,T003,U08,direct,
466.0,T004,U06,direct,
466.0,T006,U01,direct,
466.0,T009,U02,direct,
466.0,T010,U03,direct,
466.0,T016,U04,direct,
467.0,T001,U07,direct,
467.0,T002,U05,direct,
467.0,T003,U08,direct,
467.0,T004,U06,direct,
467.0,T006,U01,direct,
467.0,T009,U02,direct,
467.0,T010,U03,direct,
467.0,T016,U04,direct,
468.0,T001,U07,direct,
468.0,T002,U05,direct,
468.0,T003,U08,direct,
468.0,T004,U06,direct,
468.0,T006,U01,direct,
468.0,T009,U02,direct,
468.0,T010,U03,direct,
468.0,T016,U04,direct,
469.0,T001,U07,direct,
469.0,T002,U05,direct,
469.0,T003,U08,direct,
469.0,T004,U06,direct,
469.0,T006,U01,direct,
469.0,T009,U02,direct,
469.0,T010,U03,direct,
469.0,T016,U04,direct,
470.0,T001,U07,direct,
470.0,T002,U05,direct,
470.0,T003,U08,direct,
470.0,T004,U06,direct,
470.0,T006,U01,direct,
470.0,T009,U02,direct,
470.0,T010,U03,direct,
470.0,T016,U04,direct,
471.0,T001,U07,direct,
471.0,T002,U05,direct,
471.0,T003,U08,direct,
471.0,T004,U06,direct,
471.0,T006,U01,direct,
471.0,T009,U02,direct,
471.0,T010,U03,direct,
471.0,T016,U04,direct,
472.0,T001,U07,direct,
472.0,T002,U05,direct,
472.0,T003,U08,direct,
472.0,T004,U06,direct,
472.0,T006,U01,direct,
472.0,T009,U02,direct,
472.0,T010,U03,direct,
472.0,T016,U04,direct,
473.0,T001,U07,direct,
473.0,T002,U05,direct,
473.0,T003,U08,direct,
473.0,T004,U06,direct,
473.0,T006,U01,direct,
473.0,T009,U02,direct,
473.0,T010,U03,direct,
473.0,T016,U04,direct,
474.0,T001,U07,direct,
474.0,T002,U05,direct,
474.0,T003,U08,direct,
474.0,T004,U06,direct,
474.0,T006,U01,direct,
474.0,T009,U02,direct,
474.0,T010,U03,direct,
474.0,T016,U04,direct,
475.0,T001,U07,direct,
475.0,T002,U05,direct,
475.0,T003,U08,direct,
475.0,T004,U06,direct,
475.0,T006,U01,direct,
475.0,T009,U02,direct,
475.0,T010,U03,direct,
475.0,T016,U04,direct,
476.0,T001,U07,direct,
476.0,T002,U05,direct,
476.0,T003,U08,direct,
476.0,T004,U06,direct,
476.0,T006,U01,direct,
476.0,T009,U02,direct,
476.0,T010,U03,direct,
476.0,T016,U04,direct,
477.0,T001,U07,direct,
477.0,T002,U05,direct,
477.0,T003,U08,direct,
477.0,T004,U06,direct,
477.0,T006,U01,direct,
477.0,T009,U02,direct,
477.0,T010,U03,direct,
477.0,T016,U04,direct,
478.0,T001,U07,direct,
478.0,T002,U05,direct,
478.0,T003,U08,direct,
478.0,T004,U06,direct,
478.0,T006,U01,direct,
478.0,T009,U02,direct,
478.0,T010,U03,direct,
478.0,T016,U04,direct,
479.0,T001,U07,direct,
479.0,T002,U05,direct,
479.0,T003,U08,direct,
479.0,T004,U06,direct,
479.0,T006,U01,direct,
479.0,T009,U02,direct,
479.0,T010,U03,direct,
479.0,T016,U04,direct,
480.0,T001,U07,direct,
480.0,T002,U05,direct,
480.0,T003,U08,direct,
480.0,T004,U06,direct,
480.0,T006,U01,direct,
480.0,T009,U02,direct,
480.0,T010,U03,direct,
480.0,T016,U04,direct,
481.0,T001,U07,direct,
481.0,T002,U05,direct,
481.0,T003,U08,direct,
481.0,T004,U06,direct,
481.0,T006,U01,direct,
481.0,T009,U02,direct,
481.0,T010,U03,direct,
481.0,T016,U04,direct,
482.0,T001,U07,direct,
482.0,T002,U05,direct,
482.0,T003,U08,direct,
482.0,T004,U06,direct,
482.0,T006,U01,direct,
