time_s,trip_id,drone_id,x_m,y_m,z_m,phase,flight_phase,direct_ok,R01_serving,R01_access,R01_backhaul,R02_serving,R02_access,R02_backhaul,reason
4236.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4237.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4238.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4239.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4240.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4241.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4242.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4243.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4244.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4245.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4246.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4247.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4248.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4249.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4250.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4251.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4252.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4253.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4254.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4255.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4256.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4257.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4258.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4259.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4260.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4261.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4262.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4263.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4264.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
