time_s,trip_id,drone_id,x,y,altitude_m,phase,connected,mode,reason
460.0,T016,U04,318949.997,2546115.644,273.057,cruise,1,direct,
465.0,T001,U07,318686.201,2545556.139,165.2,ascent,1,direct,
465.0,T002,U05,318686.201,2545556.139,352.7,ascent,1,direct,
465.0,T003,U08,318686.201,2545556.139,165.2,ascent,1,direct,
465.0,T004,U06,318686.201,2545556.139,352.7,ascent,1,direct,
465.0,T006,U01,318713.626,2545562.936,435.637,cruise,1,direct,
465.0,T009,U02,318686.201,2545556.139,442.7,ascent,1,direct,
465.0,T010,U03,318625.392,2545828.599,372.909,cruise,1,direct,
465.0,T016,U04,318975.585,2546169.914,273.057,cruise,1,direct,
470.0,T001,U07,318686.201,2545556.139,177.7,ascent,1,direct,
470.0,T002,U05,318686.201,2545556.139,367.7,ascent,1,direct,
470.0,T003,U08,318686.201,2545556.139,177.7,ascent,1,direct,
470.0,T004,U06,318686.201,2545556.139,367.7,ascent,1,direct,
470.0,T006,U01,318771.864,2545577.368,435.637,cruise,1,direct,
470.0,T009,U02,318686.201,2545556.139,457.7,ascent,1,direct,
470.0,T010,U03,318612.323,2545887.158,372.909,cruise,1,direct,
470.0,T016,U04,319001.172,2546224.184,273.057,cruise,1,direct,
475.0,T001,U07,318686.201,2545556.139,190.2,ascent,1,direct,
475.0,T002,U05,318686.201,2545556.139,382.7,ascent,1,direct,
475.0,T003,U08,318686.201,2545556.139,190.2,ascent,1,direct,
475.0,T004,U06,318686.201,2545556.139,382.7,ascent,1,direct,
475.0,T006,U01,318830.102,2545591.801,435.637,cruise,1,direct,
475.0,T009,U02,318686.201,2545556.139,472.7,ascent,1,direct,
475.0,T010,U03,318599.253,2545945.717,372.909,cruise,1,direct,
475.0,T016,U04,319026.76,2546278.455,273.057,cruise,1,direct,
480.0,T001,U07,318686.201,2545556.139,202.7,ascent,1,direct,
480.0,T002,U05,318686.201,2545556.139,397.7,ascent,1,direct,
480.0,T003,U08,318686.201,2545556.139,202.7,ascent,1,direct,
480.0,T004,U06,318686.201,2545556.139,397.7,ascent,1,direct,
480.0,T006,U01,318888.34,2545606.234,435.637,cruise,1,direct,
480.0,T009,U02,318686.201,2545556.139,487.7,ascent,1,direct,
480.0,T010,U03,318586.183,2546004.276,372.909,cruise,1,direct,
480.0,T016,U04,319052.347,2546332.725,273.057,cruise,1,direct,
485.0,T001,U07,318686.201,2545556.139,215.2,ascent,1,direct,
485.0,T002,U05,318686.201,2545556.139,412.7,ascent,1,direct,
485.0,T003,U08,318686.201,2545556.139,215.2,ascent,1,direct,
485.0,T004,U06,318744.526,2545590.298,399.182,cruise,1,direct,
485.0,T006,U01,318946.579,2545620.666,435.637,cruise,1,direct,
485.0,T009,U02,318686.201,2545556.139,502.7,ascent,1,direct,
485.0,T010,U03,318573.114,2546062.836,372.909,cruise,1,direct,
485.0,T016,U04,319077.935,2546386.996,273.057,cruise,1,direct,
490.0,T001,U07,318686.201,2545556.139,227.7,ascent,1,direct,
490.0,T002,U05,318686.201,2545556.139,427.7,ascent,1,direct,
490.0,T003,U08,318686.201,2545556.139,227.7,ascent,1,direct,
490.0,T004,U06,318809.243,2545628.201,399.182,cruise,1,direct,
490.0,T006,U01,319004.817,2545635.099,435.637,cruise,1,direct,
490.0,T009,U02,318686.201,2545556.139,517.7,ascent,1,direct,
490.0,T010,U03,318560.044,2546121.395,372.909,cruise,1,direct,
490.0,T016,U04,319103.522,2546441.266,273.057,cruise,1,direct,
495.0,T001,U07,318686.201,2545556.139,240.2,ascent,1,direct,
495.0,T002,U05,318686.201,2545556.139,442.7,ascent,1,direct,
495.0,T003,U08,318686.201,2545556.139,240.2,ascent,1,direct,
495.0,T004,U06,318873.961,2545666.104,399.182,cruise,1,direct,
495.0,T006,U01,319063.055,2545649.531,435.637,cruise,1,direct,
495.0,T009,U02,318686.201,2545556.139,532.7,ascent,1,direct,
495.0,T010,U03,318546.974,2546179.954,372.909,cruise,1,direct,
495.0,T016,U04,319129.11,2546495.537,273.057,cruise,1,direct,
500.0,T001,U07,318686.201,2545556.139,252.7,ascent,1,direct,
500.0,T002,U05,318686.201,2545556.139,457.7,ascent,1,direct,
500.0,T003,U08,318686.201,2545556.139,252.7,ascent,1,direct,
500.0,T004,U06,318938.678,2545704.007,399.182,cruise,1,direct,
500.0,T006,U01,319121.294,2545663.964,435.637,cruise,1,direct,
500.0,T009,U02,318686.201,2545556.139,547.7,ascent,1,direct,
500.0,T010,U03,318533.905,2546238.513,372.909,cruise,1,direct,
