time_s,trip_id,drone_id,x,y,lon,lat,altitude_m,phase
455.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,322.7,ascent
455.0,T006,U01,318686.201,2545556.139,109.2308517,23.0085095,412.7,ascent
455.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,412.7,ascent
455.0,T010,U03,318651.531,2545711.48,109.2304952,23.0099083,372.909,cruise
455.0,T016,U04,318924.41,2546061.373,109.2331157,23.0130973,273.057,cruise
460.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,152.7,ascent
460.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,337.7,ascent
460.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,152.7,ascent
460.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,337.7,ascent
460.0,T006,U01,318686.201,2545556.139,109.2308517,23.0085095,427.7,ascent
460.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,427.7,ascent
460.0,T010,U03,318638.462,2545770.039,109.2303609,23.0104356,372.909,cruise
460.0,T016,U04,318949.997,2546115.644,109.2333589,23.0135901,273.057,cruise
465.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,165.2,ascent
465.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,352.7,ascent
465.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,165.2,ascent
465.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,352.7,ascent
465.0,T006,U01,318713.626,2545562.936,109.2311184,23.0085739,435.637,cruise
465.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,442.7,ascent
465.0,T010,U03,318625.392,2545828.599,109.2302265,23.0109629,372.909,cruise
465.0,T016,U04,318975.585,2546169.914,109.2336021,23.0140829,273.057,cruise
470.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,177.7,ascent
470.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,367.7,ascent
470.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,177.7,ascent
470.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,367.7,ascent
470.0,T006,U01,318771.864,2545577.368,109.2316847,23.0087105,435.637,cruise
470.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,457.7,ascent
470.0,T010,U03,318612.323,2545887.158,109.2300921,23.0114902,372.909,cruise
470.0,T016,U04,319001.172,2546224.184,109.2338453,23.0145757,273.057,cruise
475.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,190.2,ascent
475.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,382.7,ascent
475.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,190.2,ascent
475.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,382.7,ascent
475.0,T006,U01,318830.102,2545591.801,109.2322511,23.0088472,435.637,cruise
475.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,472.7,ascent
475.0,T010,U03,318599.253,2545945.717,109.2299577,23.0120176,372.909,cruise
475.0,T016,U04,319026.76,2546278.455,109.2340885,23.0150685,273.057,cruise
480.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,202.7,ascent
480.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,397.7,ascent
480.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,202.7,ascent
480.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,397.7,ascent
480.0,T006,U01,318888.34,2545606.234,109.2328174,23.0089838,435.637,cruise
480.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,487.7,ascent
480.0,T010,U03,318586.183,2546004.276,109.2298233,23.0125449,372.909,cruise
480.0,T016,U04,319052.347,2546332.725,109.2343317,23.0155613,273.057,cruise
485.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,215.2,ascent
485.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,412.7,ascent
485.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,215.2,ascent
485.0,T004,U06,318744.526,2545590.298,109.2314166,23.0088243,399.182,cruise
485.0,T006,U01,318946.579,2545620.666,109.2333838,23.0091205,435.637,cruise
485.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,502.7,ascent
485.0,T010,U03,318573.114,2546062.836,109.229689,23.0130722,372.909,cruise
485.0,T016,U04,319077.935,2546386.996,109.2345749,23.0160541,273.057,cruise
490.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,227.7,ascent
490.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,427.7,ascent
490.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,227.7,ascent
490.0,T004,U06,318809.243,2545628.201,109.2320433,23.0091736,399.182,cruise
490.0,T006,U01,319004.817,2545635.099,109.2339501,23.0092571,435.637,cruise
490.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,517.7,ascent
490.0,T010,U03,318560.044,2546121.395,109.2295546,23.0135995,372.909,cruise
490.0,T016,U04,319103.522,2546441.266,109.2348182,23.0165469,273.057,cruise
495.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,240.2,ascent
495.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,442.7,ascent
495.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,240.2,ascent
495.0,T004,U06,318873.961,2545666.104,109.2326701,23.0095228,399.182,cruise
495.0,T006,U01,319063.055,2545649.531,109.2345165,23.0093938,435.637,cruise
495.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,532.7,ascent
495.0,T010,U03,318546.974,2546179.954,109.2294202,23.0141268,372.909,cruise
495.0,T016,U04,319129.11,2546495.537,109.2350614,23.0170397,273.057,cruise
500.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,252.7,ascent
500.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,457.7,ascent
500.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,252.7,ascent
500.0,T004,U06,318938.678,2545704.007,109.2332969,23.0098721,399.182,cruise
500.0,T006,U01,319121.294,2545663.964,109.2350828,23.0095304,435.637,cruise
500.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,547.7,ascent
500.0,T010,U03,318533.905,2546238.513,109.2292858,23.0146541,372.909,cruise
500.0,T016,U04,319154.697,2546549.807,109.2353046,23.0175325,273.057,cruise
505.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,265.2,ascent
505.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,472.7,ascent
505.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,265.2,ascent
505.0,T004,U06,319003.396,2545741.91,109.2339237,23.0102214,399.182,cruise
505.0,T006,U01,319179.532,2545678.397,109.2356492,23.0096671,435.637,cruise
505.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,562.7,ascent
505.0,T010,U03,318520.835,2546297.073,109.2291514,23.0151814,372.909,cruise
505.0,T016,U04,319180.285,2546604.078,109.2355478,23.0180253,273.057,cruise
510.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,277.7,ascent
510.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,487.7,ascent
510.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,277.7,ascent
510.0,T004,U06,319068.113,2545779.813,109.2345505,23.0105707,399.182,cruise
510.0,T006,U01,319237.77,2545692.829,109.2362156,23.0098037,435.637,cruise
510.0,T009,U02,318670.931,2545574.137,109.2307006,23.0086703,571.799,cruise
510.0,T010,U03,318507.766,2546355.632,109.229017,23.0157087,372.909,cruise
510.0,T016,U04,319205.872,2546658.348,109.235791,23.0185181,273.057,cruise
515.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,290.2,ascent
515.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,502.7,ascent
515.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,290.2,ascent
515.0,T004,U06,319132.831,2545817.716,109.2351773,23.0109199,399.182,cruise
515.0,T006,U01,319296.008,2545707.262,109.2367819,23.0099404,435.637,cruise
515.0,T009,U02,318632.113,2545619.888,109.2303166,23.0090792,571.799,cruise
515.0,T010,U03,318494.696,2546414.191,109.2288826,23.016236,372.909,cruise
515.0,T016,U04,319231.459,2546712.618,109.2360342,23.0190108,273.057,cruise
520.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,302.7,ascent
520.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,517.7,ascent
520.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,302.7,ascent
520.0,T004,U06,319197.548,2545855.619,109.2358041,23.0112692,399.182,cruise
520.0,T006,U01,319354.247,2545721.695,109.2373483,23.010077,435.637,cruise
520.0,T009,U02,318593.296,2545665.64,109.2299326,23.0094881,571.799,cruise
520.0,T010,U03,318481.626,2546472.75,109.2287482,23.0167634,372.909,cruise
520.0,T016,U04,319257.047,2546766.889,109.2362775,23.0195036,273.057,cruise
525.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,315.2,ascent
525.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,532.7,ascent
525.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,315.2,ascent
525.0,T004,U06,319262.266,2545893.522,109.2364309,23.0116185,399.182,cruise
525.0,T006,U01,319412.485,2545736.127,109.2379146,23.0102137,435.637,cruise
525.0,T009,U02,318554.478,2545711.391,109.2295486,23.0098969,571.799,cruise
525.0,T010,U03,318468.557,2546531.309,109.2286138,23.0172907,372.909,cruise
525.0,T016,U04,319282.634,2546821.159,109.2365207,23.0199964,273.057,cruise
530.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,327.7,ascent
530.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,547.7,ascent
530.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,327.7,ascent
530.0,T004,U06,319326.984,2545931.425,109.2370577,23.0119677,399.182,cruise
530.0,T006,U01,319470.723,2545750.56,109.238481,23.0103503,435.637,cruise
530.0,T009,U02,318515.66,2545757.143,109.2291646,23.0103058,571.799,cruise
530.0,T010,U03,318455.487,2546589.869,109.2284794,23.017818,372.909,cruise
530.0,T016,U04,319308.222,2546875.43,109.2367639,23.0204892,273.057,cruise
535.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,340.2,ascent
535.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,562.7,ascent
535.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,340.2,ascent
535.0,T004,U06,319391.701,2545969.328,109.2376845,23.012317,399.182,cruise
535.0,T006,U01,319528.962,2545764.993,109.2390474,23.0104869,435.637,cruise
535.0,T009,U02,318476.843,2545802.894,109.2287806,23.0107146,571.799,cruise
535.0,T010,U03,318442.417,2546648.428,109.2283451,23.0183453,372.909,cruise
535.0,T016,U04,319333.809,2546929.7,109.2370071,23.020982,273.057,cruise
540.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,352.7,ascent
540.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,577.7,ascent
540.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,352.7,ascent
540.0,T004,U06,319456.419,2546007.231,109.2383114,23.0126663,399.182,cruise
540.0,T006,U01,319587.2,2545779.425,109.2396137,23.0106236,435.637,cruise
540.0,T009,U02,318438.025,2545848.645,109.2283965,23.0111235,571.799,cruise
540.0,T010,U03,318429.348,2546706.987,109.2282107,23.0188726,372.909,cruise
540.0,T016,U04,319359.397,2546983.971,109.2372504,23.0214748,273.057,cruise
545.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,365.2,ascent
545.0,T002,U05,318689.952,2545555.841,109.2308883,23.0085072,591.947,cruise
545.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,365.2,ascent
545.0,T004,U06,319521.136,2546045.134,109.2389382,23.0130155,399.182,cruise
